sum1,A,2,3,4,5,6,7,8,9,10,J,Q,K
Q5,20.41,30.9,31.29,33.3,32.83,33.53,34.77,32.42,29.2,26.53,25.83,26.26,26.3
Q6,18.54,28.82,28.87,28.55,29.35,28.93,32.68,29.89,27.7,24.71,24.67,24.56,25.51
Q7,17.91,25.69,24.18,25.44,25.56,25.12,26.84,26.01,25.13,22.46,21.49,22.22,22.47
Q8,16.36,19.58,20.09,20.34,20.35,19.88,21.12,21.42,21.99,19,18.12,18.17,19.32
Q9,12.38,13.86,14.08,14.32,14.86,14.64,14.57,14.92,14.34,14.45,14.47,14.29,14.18
Q10,8.26,7.64,7.72,7.66,7.38,7.82,8.58,7.98,7.64,7.63,7.95,7.63,7.42
QJ,7.69,7.63,7.65,8.33,8.08,7.7,7.15,7.64,7.74,7.53,7.53,7.45,8.07
QQ,7.89,7.52,7.77,7.74,7.49,7.33,7.77,8,7.74,7.02,7.5,7.97,7.29
QK,8.22,7.86,7.79,8,7.68,7.81,7.66,7.86,8.12,7.52,8.01,7.63,7.91
KA,47.89,65.21,66.91,67.56,68.83,71.16,65.74,62.86,59.88,55.55,55.65,55.63,56.18
K2,23.9,39.94,40.21,41.45,42.78,42.73,40.21,37.99,35.02,29.83,30.54,32.46,30.47
K3,22.71,36.83,37.51,38.33,39.31,39.76,37.4,36.04,33.07,29.62,29.38,29,29.54
K4,21.35,34.67,34.17,36.23,35.83,37.66,35.81,33.21,31.13,27.76,28.47,27.23,27.3
K5,20.03,32.01,31.97,31.98,33.12,32.79,33.84,31.99,28.73,26.3,25.42,25.54,26.13
K6,19.16,28.5,28.66,29.31,29.25,29.54,31.81,29.67,27.6,24.48,24.46,24.5,25.13
K7,17.9,24.87,25.14,24.58,26.09,25.88,27.57,26.91,24.31,21.94,22.49,22.65,21.4
K8,16.35,20.62,19.82,20.2,20.61,20.17,20.58,21.26,21.02,19,18.37,18.77,18.8
K9,11.87,13.85,15.34,15.07,14.44,14.51,14.4,14.5,14.46,14.85,14.13,14.36,15.13
K10,8.16,7.02,7.59,8.01,7.51,7.84,7.86,7.82,7.87,7.36,7.41,6.88,8.24
KJ,7.41,7.38,7.87,7.79,7.76,7.87,7.92,7.56,7.73,7.81,7.79,7.57,7.62
KQ,8.12,7.86,7.25,7.47,7.44,8,7.56,7.62,7.6,7.34,7.69,7.38,7.23
KK,7.81,7.47,7.51,8.16,8.12,7.62,7.61,7.41,7.42,7.89,7.32,7.53,7.27
